ESD No	ESD Name	District-County Code	District name	Mailing AddressLine1	Mailing  AddressLine2	Mailing City	Mailing  State	Mailing  ZipCode	Physical AddressLine1	Physical  AddressLine2	Physical City	Physical  State	Physical  ZipCode	Superintendent Name	phone
6801	Educational Service District 112	30031	Mill A School District	1142 JESSUP RD		COOK	Washington	98605-9120	1142 JESSUP RD		COOK	Washington	98605-9120	Dale Palmer	509.538.2522
29801	Northwest Educational Service District 189	31103	Monroe School District	200 East Fremont Street		Monroe	Washington	98272-2336	200 E FREMONT ST		MONROE	Washington	98272-2336	Ken Hoover	360.804.2500
34801	Educational Service District 113	14066	Montesano School District	302 CHURCH ST N		MONTESANO	Washington	98563-2500	302 CHURCH ST N		MONTESANO	Washington	98563-2500	Dan Winter	360.249.3942
34801	Educational Service District 113	21214	Morton School District	PO BOX H		MORTON	Washington	98356-0048	152 WESTLAKE AVE		MORTON	Washington	98356-0048	Tom Manke	360.496.5300
4801	North Central Educational Service District 171	13161	Moses Lake School District	920 W IVY AVE		MOSES LAKE	Washington	98837-2047	920 W IVY AVE		MOSES LAKE	Washington	98837-2047	Michelle Price	509.766.2650
34801	Educational Service District 113	21206	Mossyrock School District	PO BOX 478		MOSSYROCK	Washington	98564-0478	545 WILLIAMS ST		MOSSYROCK	Washington	98564-0478	Karen Ernest	360.983.3181
39801	Educational Service District 105	39209	Mount Adams School District	PO BOX 578		WHITE SWAN	Washington	98952-0578	621 SIGNAL PEAK RD		WHITE SWAN	Washington	98952-0578	Henry Strom	509.874.2611
29801	Northwest Educational Service District 189	37507	Mount Baker School District	PO BOX 95		DEMING	Washington	98244-0095	4956 DEMING RD		DEMING	Washington	98244-0095	Charles Burleigh	360.383.2000
6801	Educational Service District 112	30029	Mount Pleasant School District	152 MARBLE RD		WASHOUGAL	Washington	98671-7913	152 MARBLE RD		WASHOUGAL	Washington	98671-7913	Linda  Slattery	360.835.3371
6801	Educational Service District 112	30029	Mount Pleasant School District	152 MARBLE RD		WASHOUGAL	Washington	98671-7913	152 MARBLE RD		WASHOUGAL	Washington	98671-7913	Peter Tarzian	360.835.3371
29801	Northwest Educational Service District 189	29320	Mount Vernon School District	124 E LAWRENCE ST		MOUNT VERNON	Washington	98273-2999	124 E LAWRENCE ST		MOUNT VERNON	Washington	98273-2999	Carl Bruner	(360) 428-6181
29801	Northwest Educational Service District 189	31006	Mukilteo School District	9401 SHARON DR		EVERETT	Washington	98204-2699	9401 SHARON DR		EVERETT	Washington	98204-2699	Marci Larsen	(425) 356-1220
39801	Educational Service District 105	39003	Naches Valley School District	PO BOX 99		NACHES	Washington	98937-9744	24 SHAFER AVE		NACHES	Washington	98937-9744	Duane Lyons	509.653.2220
34801	Educational Service District 113	21014	Napavine School District	PO BOX 840		NAPAVINE	Washington	98565-0840	413 E PARK ST		NAPAVINE	Washington	98565-0840	Richard Jones	360.262.3303
6801	Educational Service District 112	25155	Naselle-Grays River Valley School District	793 STATE ROUTE 4		NASELLE	Washington	98638-8541	793 STATE ROUTE 4		NASELLE	Washington	98638-8541	Rick Pass	360.484.7121
4801	North Central Educational Service District 171	24014	Nespelem School District	PO BOX 291		NESPELEM	Washington	99155-0291	229 SCHOOL LOOP RD	PO Box 291	NESPELEM	Washington	99155-0291	John Adkins	509.634.4541
32801	Educational Service District 101	26056	Newport School District	PO BOX 70		NEWPORT	Washington	99156-0070	1380 W 5TH		NEWPORT	Washington	99156-0070	Jason Thompson	509.447.3167
32801	Educational Service District 101	32325	Nine Mile Falls School District	10110 W CHARLES RD		NINE MILE FALLS	Washington	99026-8623	10110 W CHARLES RD		NINE MILE FALLS	Washington	99026-8623	Brian Talbott	509.340.4303
29801	Northwest Educational Service District 189	37506	Nooksack Valley School District	PO BOX 4307		EVERSON	Washington	98247-9232	3326 E BADGER RD		EVERSON	Washington	98247-9232	Mark Johnson	360.988.4754
34801	Educational Service District 113	14064	North Beach School District	PO BOX 159		OCEAN SHORES	Washington	98569-9563	2652 ST ROUTE 109 OCEAN CITY		OCEAN SHORES	Washington	98569-9563	Stanley Pinnick	360.289.2447
11801	Educational Service District 123	11051	North Franklin School District	PO BOX 829		CONNELL	Washington	99326-0829	1100 W CLARK ST		CONNELL	Washington	99326-0829	Gregg Taylor	509.234.2021
18801	Olympic Educational Service District 114	18400	North Kitsap School District	18360 CALDART AVE NE		POULSBO	Washington	98370-8775	18360 CALDART AVE NE		POULSBO	Washington	98370-8775	Patrice Page	360.779.8700
18801	Olympic Educational Service District 114	23403	North Mason School District	71 EAST CAMPUS DRIVE		BELFAIR	Washington	98528-0000	71 EAST CAMPUS DRIVE		BELFAIR	Washington	98528-0000	David Peterson	360.277.2300
34801	Educational Service District 113	25200	North River School District	2867 N RIVER RD		COSMOPOLIS	Washington	98537-9743	2867 N RIVER RD		COSMOPOLIS	Washington	98537-9743	David Pickering	360.532.3079
34801	Educational Service District 113	34003	North Thurston Public Schools	305 COLLEGE ST NE		LACEY	Washington	98516-5390	305 COLLEGE ST NE		LACEY	Washington	98516-5390	Raj Manhas	360.412.4413
32801	Educational Service District 101	33211	Northport School District	PO BOX 1280		NORTHPORT	Washington	99157-1280	404 10TH ST		NORTHPORT	Washington	99157-1280	Wes Harris	509.732.4251
17801	Puget Sound Educational Service District 121	17417	Northshore School District	3330 Monte Villa Parkway		BOTHELL	Washington	98021-8972	3330 Monte Villa Parkway		BOTHELL	Washington	98021-8972	Larry Francois	425.408.7701
29801	Northwest Educational Service District 189	15201	Oak Harbor School District	350 S OAK HARBOR ST		OAK HARBOR	Washington	98277-5015	350 S OAK HARBOR ST		OAK HARBOR	Washington	98277-5015	Rick Schulte	360.279.5006
32801	Educational Service District 101	38324	Oakesdale School District	PO BOX 228		OAKESDALE	Washington	99158-0228	FIRST & MCCOY		OAKESDALE	Washington	99158-0228	Jacob Dingman	509.285.5296
34801	Educational Service District 113	14400	Oakville School District	PO BOX H		OAKVILLE	Washington	98568-0090	103 SCHOOL ST		OAKVILLE	Washington	98568-0090	Kathy Lorton	360.273.0171
6801	Educational Service District 112	25101	Ocean Beach School District	PO Box 778		Long Beach	Washington	98631-0778	500 Washington Ave S		Long Beach	Washington	98631-0000	Mark Hottowe	360.642.3739
34801	Educational Service District 113	14172	Ocosta School District	2580 S MONTESANO ST		WESTPORT	Washington	98595-9718	2580 S MONTESANO ST		WESTPORT	Washington	98595-9718	Gail Sackman	360.268.9125 ext.129
32801	Educational Service District 101	22105	Odessa School District	PO BOX 248		ODESSA	Washington	99159-0248	311 S FIRST ST		ODESSA	Washington	99159-0248	Suellen White	509.982.2668
4801	North Central Educational Service District 171	24105	Okanogan School District	PO BOX 592		OKANOGAN	Washington	98840-0592	244 5TH AVE SOUTH		OKANOGAN	Washington	98840-0592	Richard Johnson	509.422.3629
34801	Educational Service District 113	34111	Olympia School District	1113 LEGION WAY SE		OLYMPIA	Washington	98501-1697	1113 LEGION WAY SE		OLYMPIA	Washington	98501-1697	Dominic Cvitanich	360.596.6100
4801	North Central Educational Service District 171	24019	Omak School District	PO BOX 833		OMAK	Washington	98841-9700	619 W BARTLETT AVE		OMAK	Washington	98841-9700	Arthur Himmler	509.826.7681
34801	Educational Service District 113	21300	Onalaska School District	540 CARLISLE AVE		ONALASKA	Washington	98570-9654	540 CARLISLE AVE		ONALASKA	Washington	98570-9654	Scott Fenter	360.978.4111
32801	Educational Service District 101	33030	Onion Creek School District	2006 LOTZE CREEK RD		COLVILLE	Washington	99114-8602	2006 LOTZE CREEK RD		COLVILLE	Washington	99114-8602	Patsy Guglielmino	509.732.4240
29801	Northwest Educational Service District 189	28137	Orcas Island School District	557 SCHOOL RD		EASTSOUND	Washington	98245-9457	557 SCHOOL RD		EASTSOUND	Washington	98245-9457	Barbara Kline	360.376.2284
32801	Educational Service District 101	32123	Orchard Prairie School District	7626 N ORCHARD PRAIRIE RD		SPOKANE	Washington	99217-9766	7626 N ORCHARD PRAIRIE RD		SPOKANE	Washington	99217-9766	Duane Reidenbach	509.467.9517
32801	Educational Service District 101	10065	Orient School District	PO BOX 1419		ORIENT	Washington	99160-0419	5TH AND C STREET	P O  Box 1419	ORIENT	Washington	99160-0419	Mark Selle	509.684.6873
4801	North Central Educational Service District 171	9013	Orondo School District	P O Box 71		ORONDO	Washington	98843	100 ORONDO SCHOOL RD		ORONDO	Washington	98843-9723	Millie Watkins	509.784.2443
4801	North Central Educational Service District 171	24410	Oroville School District	816 JUNIPER		OROVILLE	Washington	98844-0000	816 JUNIPER		OROVILLE	Washington	98844-0000	STEVEN QUICK	509.476.2281
17801	Puget Sound Educational Service District 121	27344	Orting School District	120 WASHINGTON AVE N		ORTING	Washington	98360-8403	120 WASHINGTON AVE N		ORTING	Washington	98360-8403	Michelle Curry	360.893.6500
11801	Educational Service District 123	1147	Othello School District	615 E JUNIPER ST		OTHELLO	Washington	99344-1463	615 E JUNIPER ST		OTHELLO	Washington	99344-1463	George Juarez	(509) 488-2659
4801	North Central Educational Service District 171	9102	Palisades School District	1114 PALISADES RD		PALISADES	Washington	98845-9609	1114 PALISADES RD		PALISADES	Washington	98845-9609	Russ Elliott	509.884.8071
32801	Educational Service District 101	38301	Palouse School District	600 E ALDER ST		PALOUSE	Washington	99161-8780	600 E ALDER ST		PALOUSE	Washington	99161-8780	Darcy Eliason	509.878.1921
32801	Educational Service District 101	38301	Palouse School District	600 E ALDER ST		PALOUSE	Washington	99161-8780	600 E ALDER ST		PALOUSE	Washington	99161-8780	Jake Dingman	509.878.1921
11801	Educational Service District 123	11001	Pasco School District	Pasco School District	C.L. Booth Service Center	PASCO	Washington	99301-5472	1215 W LEWIS ST		PASCO	Washington	99301-5472	Saundra Hill	(509) 543-6700
4801	North Central Educational Service District 171	24122	Pateros School District	PO BOX 98		PATEROS	Washington	98846-0098	344 W BEACH ST		PATEROS	Washington	98846-0098	Lois  Davies	509.923.2751
11801	Educational Service District 123	3050	Paterson School District	PO BOX 189		PATERSON	Washington	99345-0189	51409 W PRIOR RD		PATERSON	Washington	99345-0189	Peggy Douglas	509.875.2601
34801	Educational Service District 113	21301	Pe Ell School District	PO BOX 368		PE ELL	Washington	98572-0368	519 NORTH 2ND		PE ELL	Washington	98572-0368	Kyle MacDonald	360.291.3244
17801	Puget Sound Educational Service District 121	27401	Peninsula School District	14015 62ND AVE NW		GIG HARBOR	Washington	98332-8698	14015 62ND AVE NW		GIG HARBOR	Washington	98332-8698	Charles Cuzzetto	253.530.1000
34801	Educational Service District 113	23402	Pioneer School District	611 E AGATE RD		SHELTON	Washington	98584-7306	611 E AGATE RD		SHELTON	Washington	98584-7306	Martin Brewer	360.426.9115
11801	Educational Service District 123	12110	Pomeroy School District	PO BOX 950		POMEROY	Washington	99347-0950	121 S 10th Street		POMEROY	Washington	99347-0950	Kim Spacek	509.843.3393
18801	Olympic Educational Service District 114	5121	Port Angeles School District	216 E 4TH ST		PORT ANGELES	Washington	98362-3200	216 E 4TH ST		PORT ANGELES	Washington	98362-3200	Jane Pryne	360.457.8575
18801	Olympic Educational Service District 114	16050	Port Townsend School District	1610 Blaine St.		Port Townsend	Washington	98368	1610 Blaine St.		Port Townsend	Washington	98368	David Engle	360.379.4501
11801	Educational Service District 123	36402	Prescott School District	Aj Jacobson	PO Box 65	PRESCOTT	Washington	99348-0065	207 SOUTH A  STREET		PRESCOTT	Washington	99348-0065	Bill Jordan	509.849.2216 ext.105
11801	Educational Service District 123	3116	Prosser School District	823 PARK AVE		PROSSER	Washington	99350-1264	823 PARK AVE		PROSSER	Washington	99350-1264	Ray Tolcacher	509.786.3323
32801	Educational Service District 101	38267	Pullman School District	240 SE DEXTER ST		PULLMAN	Washington	99163-3585	240 SE DEXTER ST		PULLMAN	Washington	99163-3585	Paul Sturm	509.332.3581
17801	Puget Sound Educational Service District 121	27003	Puyallup School District	PO BOX 370		PUYALLUP	Washington	98372-3220	302 2ND ST SE		PUYALLUP	Washington	98372-3220	Timothy Yeomans	253.840.8950
18801	Olympic Educational Service District 114	16020	Queets-Clearwater School District	146000 HIGHWAY 101		FORKS	Washington	98331-9484	146000 HIGHWAY 101		FORKS	Washington	98331-9484	Michael Ferguson	360.962.2395
18801	Olympic Educational Service District 114	16048	Quilcene School District	PO BOX 40		QUILCENE	Washington	98376-0040	294715 HWY 101		QUILCENE	Washington	98376-0040	Wally Lis	360.765.3363 ext.202
18801	Olympic Educational Service District 114	5402	Quillayute Valley School District	PO BOX 60		FORKS	Washington	98331-0060	411 S SPARTAN AVE		FORKS	Washington	98331-0060	Diana  Reaume	360.374.6262
4801	North Central Educational Service District 171	13144	Quincy School District	119 J ST SW		QUINCY	Washington	98848-1330	119 J ST SW		QUINCY	Washington	98848-1330	Burton Dickerson	509 787 4571
34801	Educational Service District 113	34307	Rainier School District	PO BOX 98		RAINIER	Washington	98576-0098	307 ALASKA ST		RAINIER	Washington	98576-0098	Tim Garchow	360.446.2207
34801	Educational Service District 113	25116	Raymond School District	1016 COMMERCIAL ST		RAYMOND	Washington	98577-2631	1016 COMMERCIAL ST		RAYMOND	Washington	98577-2631	Steve Holland	360.942.3415
32801	Educational Service District 101	22009	Reardan-Edwall School District	PO BOX 225		REARDAN	Washington	99029-0225	E. 215 Spokane Street		REARDAN	Washington	99029-0225	Marcus Morgan	509.796.2701
17801	Puget Sound Educational Service District 121	17403	Renton School District	300 SW 7TH ST		RENTON	Washington	98055-2307	300 SW 7TH ST		RENTON	Washington	98055-2307	Mary Alice Heuschel	425.204.2340
32801	Educational Service District 101	10309	Republic School District	30306 E HIGHWAY 20		REPUBLIC	Washington	99166-8746	30306 E HIGHWAY 20		REPUBLIC	Washington	99166-8746	Kyle Rydell	509.775.3173
11801	Educational Service District 123	3400	Richland School District	615 SNOW AVE		RICHLAND	Washington	99352-3899	615 SNOW AVE		RICHLAND	Washington	99352-3899	Jim Busey	509.967.6001
6801	Educational Service District 112	6122	Ridgefield School District	2724 S HILLHURST RD		RIDGEFIELD	Washington	98642-9088	2724 S HILLHURST RD		RIDGEFIELD	Washington	98642-9088	Art Edgerly	360.619.1302
32801	Educational Service District 101	1160	Ritzville School District	209 E WELLSANDT RD		RITZVILLE	Washington	99169-1600	209 E WELLSANDT RD		RITZVILLE	Washington	99169-1600	Robert Roettger	509.659.1660
32801	Educational Service District 101	32416	Riverside School District	34515 N NEWPORT HWY		CHATTAROY	Washington	99003-7706	34515 N NEWPORT HWY		CHATTAROY	Washington	99003-7706	Roberta Kramer	509.464.8201
17801	Puget Sound Educational Service District 121	17407	Riverview School District	PO Box 519		DUVALL	Washington	98019	15510 1st Ave NE		DUVALL	Washington	98019	Conrad Robertson	(425) 844-4504
34801	Educational Service District 113	34401	Rochester School District	10140 HIGHWAY 12 SW		ROCHESTER	Washington	98579-9601	10140 HIGHWAY 12 SW		ROCHESTER	Washington	98579-9601	Kimberly Fry	360.273.5536
6801	Educational Service District 112	20403	Roosevelt School District	PO BOX 248		ROOSEVELT	Washington	99356-0248	615 CHINOOK AVE		ROOSEVELT	Washington	99356-0248	Ken Belieu	509.384.5462
32801	Educational Service District 101	38320	Rosalia School District	PO BOX 128		ROSALIA	Washington	99170-9550	916 S JOSEPHINE		ROSALIA	Washington	99170-9550	William Thurston	509.523.3061
39801	Educational Service District 105	13160	Royal School District	PO BOX 486		ROYAL CITY	Washington	99357-0486	901 AHLERS RD		ROYAL CITY	Washington	99357-0486	Rosemarie Search	509.346.2222
29801	Northwest Educational Service District 189	28149	San Juan Island School District	PO BOX 458		FRIDAY HARBOR	Washington	98250-0458	285 BLAIR STREET		FRIDAY HARBOR	Washington	98250-0458	Rick Thompson	360.378.4133
34801	Educational Service District 113	14104	Satsop School District	PO BOX 96		SATSOP	Washington	98583-0096	853 MONTE ELMA RD		SATSOP	Washington	98583-0096	Marsha Hendrick	(360) 482-5330
17801	Puget Sound Educational Service District 121	17001	Seattle Public Schools	PO BOX 34165		SEATTLE	Washington	98124-1165	2445 3RD AVE S		SEATTLE	Washington	98134-1165	Jose Banda	206.252.0000
29801	Northwest Educational Service District 189	29101	Sedro-Woolley School District	801 TRAIL RD		SEDRO WOOLLEY	Washington	98284-9387	801 TRAIL RD		SEDRO WOOLLEY	Washington	98284-9387	Mark Venn	360.855.3500
39801	Educational Service District 105	39119	Selah School District	105 W BARTLETT AVE		SELAH	Washington	98942-1117	105 W BARTLETT AVE		SELAH	Washington	98942-1117	Shane Backlund	509.697.0702
32801	Educational Service District 101	26070	Selkirk School District	PO BOX 129		METALINE FALLS	Washington	99153-0129	10372 HWY 31		METALINE FALLS	Washington	99153-0129	Nancy Lotze	(509) 446-2951
18801	Olympic Educational Service District 114	5323	Sequim School District	503 N SEQUIM AVE		SEQUIM	Washington	98382-3161	503 N SEQUIM AVE		SEQUIM	Washington	98382-3161	Kelly Shea	360.582.3260
29801	Northwest Educational Service District 189	28010	Shaw Island School District	PO BOX 426		SHAW ISLAND	Washington	98286-0426	44 HOFFMAN COVE RD		SHAW ISLAND	Washington	98286-0426	Robert Pattermann	360.468.2570
34801	Educational Service District 113	23309	Shelton School District	700 S 1ST ST		SHELTON	Washington	98584-3602	700 S 1ST ST		SHELTON	Washington	98584-3602	Wayne Massie	360.426.1687
17801	Puget Sound Educational Service District 121	17412	Shoreline School District	18560 1ST AVE NE		SHORELINE	Washington	98155-2118	18560 1ST AVE NE		SHORELINE	Washington	98155-2118	Sue Walker	206.393.4203
6801	Educational Service District 112	30002	Skamania School District	122 BUTLER LOOP RD		SKAMANIA	Washington	98648-6021	122 BUTLER LOOP RD		SKAMANIA	Washington	98648-6021	JoAnn Fritz	509.427.8239
17801	Puget Sound Educational Service District 121	17404	Skykomish School District	PO BOX 325		SKYKOMISH	Washington	98288-0325	105 6TH ST N		SKYKOMISH	Washington	98288-0325	Jeffery Long	360.677.2623
29801	Northwest Educational Service District 189	31201	Snohomish School District	1601 AVENUE D		SNOHOMISH	Washington	98290-1799	1601 AVENUE D		SNOHOMISH	Washington	98290-1799	William Mester	360.563.7280
17801	Puget Sound Educational Service District 121	17410	Snoqualmie Valley School District	PO BOX 400		SNOQUALMIE	Washington	98065-0400	8001 SILVA AVE SE		SNOQUALMIE	Washington	98065-0400	Joel Aune	425.831.8000
4801	North Central Educational Service District 171	13156	Soap Lake School District	PO BOX 158		SOAP LAKE	Washington	98851-0158	410 GINGKO ST S		SOAP LAKE	Washington	98851-0158	Danny McDonald	509.246.1822
34801	Educational Service District 113	25118	South Bend School District	PO BOX 437		SOUTH BEND	Washington	98586-0437	405 E 1ST		SOUTH BEND	Washington	98586-0437	Mike Morris	(360) 875-6041
18801	Olympic Educational Service District 114	18402	South Kitsap School District	2689 HOOVER AVE SE		PORT ORCHARD	Washington	98366-3013	2689 HOOVER AVE SE		PORT ORCHARD	Washington	98366-3013	Beverly Cheney	360.874.7009
29801	Northwest Educational Service District 189	15206	South Whidbey School District	PO BOX 346	721 Camano Avenue	LANGLEY	Washington	98260-0346	721 CAMANO AVE		LANGLEY	Washington	98260-0346	Josephine Moccia	360.221.6100
34801	Educational Service District 113	23042	Southside School District	161 SE COLLIER RD		SHELTON	Washington	98584-8367	161 SE COLLIER RD		SHELTON	Washington	98584-8367	Doris Bolender	360.426.8437
32801	Educational Service District 101	32081	Spokane School District	200 N BERNARD ST		SPOKANE	Washington	99201-0282	200 N BERNARD ST		SPOKANE	Washington	99201-0282	Shelley Redinger	509.354.7364
32801	Educational Service District 101	22008	Sprague School District	PO BOX 305		SPRAGUE	Washington	99032-0305	S 512 F STREET		SPRAGUE	Washington	99032-0305	Pat Whipple	509.257.2591
32801	Educational Service District 101	38322	St. John School District	301 W NOB HL		SAINT JOHN	Washington	99171-0058	301 W NOB HL		SAINT JOHN	Washington	99171-0058	Gary Wargo	509.648.3336
29801	Northwest Educational Service District 189	31401	Stanwood-Camano School District	26920 Pioneer Highway		Stanwood	Washington	98292-9548	26920 Pioneer Highway		Stanwood	Washington	98292-9548	Jean Shumate	(360) 629-1200
11801	Educational Service District 123	11054	Star School District	24180 PASCO KAHLOTUS RD		PASCO	Washington	99301-9738	24180 PASCO KAHLOTUS RD		PASCO	Washington	99301-9738	Rich  Puryear	509.967.6030
11801	Educational Service District 123	7035	Starbuck School District	PO BOX 188		STARBUCK	Washington	99359-0188	717 TUCANNON ST		STARBUCK	Washington	99359-0188	Karen Rubenser	509.399.2381
11801	Educational Service District 123	7035	Starbuck School District	PO BOX 188		STARBUCK	Washington	99359-0188	717 TUCANNON ST		STARBUCK	Washington	99359-0188	Karl Edie	509.399.2381
4801	North Central Educational Service District 171	4069	Stehekin School District	PO BOX 37		STEHEKIN	Washington	98852-0037	3 MILE MAIN VALLEY RD		STEHEKIN	Washington	98852-0037	RICH MCBRIDE	509.665.2628
17801	Puget Sound Educational Service District 121	27001	Steilacoom Hist. School District	510 CHAMBERS ST		STEILACOOM	Washington	98388-3311	510 CHAMBERS ST		STEILACOOM	Washington	98388-3311	Bill Fritz	253.983.2200
32801	Educational Service District 101	38304	Steptoe School District	PO BOX 138		Steptoe	Washington	99174-3138	12 TENNESSEE ST		STEPTOE	Washington	99174-3138	Glenn Frizzell	(509) 397-3119
6801	Educational Service District 112	30303	Stevenson-Carson School District	PO BOX 850		STEVENSON	Washington	98648-0850	350 NW BULLDOG DR		STEVENSON	Washington	98648	Teena McDonald	509.427.5674
29801	Northwest Educational Service District 189	31311	Sultan School District	514 4th Street		SULTAN	Washington	98294-9474	514 4TH ST		SULTAN	Washington	98294-0399	Dan Chaplik	360.793.9800
32801	Educational Service District 101	33202	Summit Valley School District	2360 ADDY GIFFORD RD		ADDY	Washington	99101-9703	2360 ADDY GIFFORD RD		ADDY	Washington	99101-9703	Bill Glidewell	509.935.6362
17801	Puget Sound Educational Service District 121	27320	Sumner School District	1202 WOOD AVE		SUMNER	Washington	98390-1933	1202 WOOD AVE		SUMNER	Washington	98390-1933	Craig Spencer	253.891.6080
39801	Educational Service District 105	39201	Sunnyside School District	1110 S 6th St		Sunnyside	Washington	98944-2197	1110 S 6TH ST		SUNNYSIDE	Washington	98944-2197	Richard Cole	(509) 836-6532
17801	Puget Sound Educational Service District 121	27010	Tacoma School District	PO BOX 1357		TACOMA	Washington	98401-1357	601 S 8TH ZIP 98405		TACOMA	Washington	98401-1357	Carla Santorno	253.571.1010
34801	Educational Service District 113	14077	Taholah School District	PO BOX 249		TAHOLAH	Washington	98587-0249	600 CHITWHIN DR		TAHOLAH	Washington	98587-0249	Lynda Roberts-Sanchez	360.276.4780
17801	Puget Sound Educational Service District 121	17409	Tahoma School District	25720 MAPLE VALLEY BLK DIAM RD SE		MAPLE VALLEY	Washington	98038-8313	25720 MAPLE VALLEY BLK DIAM RD SE		MAPLE VALLEY	Washington	98038-8313	Mike Maryanski	425.413.3400
32801	Educational Service District 101	38265	Tekoa School District	PO BOX 869		TEKOA	Washington	99033-0869	135 N COLLEGE AVE		TEKOA	Washington	99033-0869	Connie Kliewer	509.284.3281
34801	Educational Service District 113	34402	Tenino School District	PO BOX 4024		TENINO	Washington	98589-4024	301 OLD HWY 99 N		TENINO	Washington	98589-4024	Russell Pickett	360.264.3411
39801	Educational Service District 105	19400	Thorp School District	PO BOX 150		THORP	Washington	98946-0150	10831 N THORP HWY		THORP	Washington	98946-0150	LINDA MARTIN	509.964.2107
34801	Educational Service District 113	21237	Toledo School District	PO BOX 469		TOLEDO	Washington	98591-0469	130 N 5TH ST		TOLEDO	Washington	98591-0469	Sharon Bower	(360) 864-6325
4801	North Central Educational Service District 171	24404	Tonasket School District	35 DO HIGHWAY 20 EAST		TONASKET	Washington	98855-9601	35 DO E HIGHWAY 20		TONASKET	Washington	98855-9601	B. Turner	509.486.2126
39801	Educational Service District 105	39202	Toppenish School District	306 BOLIN DR		TOPPENISH	Washington	98948-1644	306 BOLIN DR		TOPPENISH	Washington	98948-1644	John Cerna	509.865.8155
11801	Educational Service District 123	36300	Touchet School District	P.O. Box 135		TOUCHET	Washington	99360-9533	90 CHAMPION ST		TOUCHET	Washington	99360-9533	Susan Bell	509.394.2352
6801	Educational Service District 112	8130	Toutle Lake School District	5050 SPIRIT LAKE HWY		TOUTLE	Washington	98649-9701	5050 SPIRIT LAKE HWY		TOUTLE	Washington	98649-9701	Scott Grabenhorst	360.274.6182 ext.1003
6801	Educational Service District 112	20400	Trout Lake School District	PO Box 488	2310 Hwy 141	TROUT LAKE	Washington	98650-9735	2310 HIGHWAY 141		TROUT LAKE	Washington	98650-9735	Doug Dearden	509.395.2571
17801	Puget Sound Educational Service District 121	17406	Tukwila School District	4640 S 144TH ST		TUKWILA	Washington	98168-4134	4640 S 144TH ST		TUKWILA	Washington	98168-4134	Mellody Matthes	206.901.8009
34801	Educational Service District 113	34033	Tumwater School District	621 LINWOOD AVE SW		TUMWATER	Washington	98512-8499	621 LINWOOD AVE SW		TUMWATER	Washington	98512-8499	NULL	NULL
39801	Educational Service District 105	39002	Union Gap School District	3201 South 4th Street		UNION GAP	Washington	98903-1894	3201 South 4th Street		UNION GAP	Washington	98903-1894	Kurt  Hilyard	509.248.3966 ext.403
17801	Puget Sound Educational Service District 121	27083	University Place School District	3717 GRANDVIEW DR W		UNIVERSITY PLACE	Washington	98466-2138	3717 GRANDVIEW DR W		UNIVERSITY PLACE	Washington	98466-2138	Patti Banks	(253) 566-5600
34801	Educational Service District 113	21018	Vader School District	PO BOX 190		VADER	Washington	98593-0190	704 D S		VADER	Washington	98593-0190	Joann Anshutz	(360) 295-3351
32801	Educational Service District 101	33070	Valley School District	3030 Huffman Road		Valley	Washington	99181	3030 Huffman Road		Valley	Washington	99181	Mark Selle	509.937.2770
6801	Educational Service District 112	6037	Vancouver School District	PO BOX 8937		VANCOUVER	Washington	98661-5683	2901 FALK RD		VANCOUVER	Washington	98661-5683	Steven Webb	360.313.1200
17801	Puget Sound Educational Service District 121	17402	Vashon Island School District	P O Box 547		VASHON	Washington	98070-0547	9309 SW Cemetery Rd		VASHON	Washington	98070-3105	Michael Soltman	206.463.2121
6801	Educational Service District 112	35200	Wahkiakum School District	PO BOX 398		CATHLAMET	Washington	98612-0398	500 S 3RD		CATHLAMET	Washington	98612-0398	Bob Garrett	360.795.3971
39801	Educational Service District 105	13073	Wahluke School District	PO BOX 907		MATTAWA	Washington	99349-0952	411 E SADDLE MT DRIVE		MATTAWA	Washington	99349-0952	Aaron Chavez	509.932.4565
11801	Educational Service District 123	36401	Waitsburg School District	PO BOX 217		WAITSBURG	Washington	99361-0217	605 MAIN		WAITSBURG	Washington	99361-0217	Carol Clarke	509.337.6301
11801	Educational Service District 123	36140	Walla Walla Public Schools	364 S PARK ST		WALLA WALLA	Washington	99362-3249	364 S PARK ST		WALLA WALLA	Washington	99362-3249	DONALD MILLER	509.526.6714
39801	Educational Service District 105	39207	Wapato School District	PO BOX 38		WAPATO	Washington	98951-1308	212 W 3RD ST		WAPATO	Washington	98951-1308	Becky Imler	509.877.4181
4801	North Central Educational Service District 171	13146	Warden School District	101 W BECK WAY		WARDEN	Washington	98857-9401	101 W BECK WAY		WARDEN	Washington	98857-9401	Sandra Sheldon	(509) 349-2366
6801	Educational Service District 112	6112	Washougal School District	4855 Evergreen Way		WASHOUGAL	Washington	98671-9176	4855 Evergreen Way		WASHOUGAL	Washington	98671-9176	Dawn Tarzian	360.954.3000
32801	Educational Service District 101	1109	Washtucna School District	730 East Booth Avenue		WASHTUCNA	Washington	99371-0688	730 East Booth Avenue		WASHTUCNA	Washington	99371-0688	J. Brent  Seedall	509.646.3211 ext.123
32801	Educational Service District 101	1109	Washtucna School District	730 East Booth Avenue		WASHTUCNA	Washington	99371-0688	730 East Booth Avenue		WASHTUCNA	Washington	99371-0688	Robert  Allen	509.646.3211 ext.124
