County	Public School District	School Name	School Bldg Number	Administrator	Address	City	State	Zip	Phone Number	Email Address	Web Site Address	Grade	Profit/Non-Profit	Accredited
King	Lake Washington	Eastside Catholic School (formerly Eastside Catholic High School) (2009)	8572	"Sr. Mary E. Tracy, SNJM"	232 228th Ave SE	Sammamish	WA	98074-7207	425.295.3000	mtracy@eastsidecatholic.org	www.eastsidecatholic.org	6-12	NP	PNAIS
King	Bellevue	Eastside Christian School	8741	Mark Migliore	14615 SE 22nd St	Bellevue	WA	98007-6242	425.641.5570	mmigliore@eastsidechristian.net	www.eastsidechristian.net	P-8	NP	
King	Lake Washington	Eastside Preparatory School	8662	"Terry Macaluso, PhD"	10635 NE 38th Pl	Kirkland	WA	98033-7927	425.822.5668	tmacaluso@eastsideprep.org	www.eastsideprep.org	5-12	NP	PNAIS
Whatcom	Lynden	Ebenezer Christian School	8221	Jim Buss	9390 Guide Meridian Rd	Lynden	WA	98264-9798	360.354.2632	jimbuss@ebenezerchristianschool.org	www.ebenezerchristianschool.org	P-8	NP	
Kittitas	Ellensburg	Ellensburg Christian School	8941	Anna Peyton	407 S Anderson St                                 (Mail: PO Box 426                      Ellensburg 98926-0426)	Ellensburg	WA	98926-3805	509.925.2411	apeyton@ellensburgchristian.org	ellensburgchristian.org	K-8	NP	
King	Seattle	Epiphany School	8033	Matt Neely	3611 E Denny Way	Seattle	WA	98122-3423	206.323.9011	MNeely@epiphanyschool.org	www.epiphanyschool.org	P-5	NP	PNAIS
King	Bellevue	Eton School	8559	Dr. Russell Smith	2701 Bel-Red Rd	Bellevue	WA	98008-2253	425.881.4230	russellsmith@etonschool.org	www.etonschool.com	P-8	NP	PNAIS
Snohomish	Everett	Everett Christian School	8156	Matthew Kamps	2221 Cedar St	Everett	WA	98201-2599	425.259.3213	mkamps@everettchristian.org	www.everettchristian.org	P-8	NP	CSI
King	Northshore	Evergreen Academy	8673	Dana Mott	16017 118th Pl NE	Bothell	WA	98011-4151	425.488.8000	dana.mott@nlcinc.com	www.bothell.evergreenacademy.net	K-6	P	NWAC
Lewis	Centralia	Evergreen Academy of Arts & Sciences	8663	"Mary Ann White, Bd President"	506 S Washington Ave	Centralia	WA	98531-2622	360.330.1833	Fanny24May@yahoo.com		P-6	NP	NWAC
Thurston	Olympia	Evergreen Christian School	8332	Cynthia Pollard	1010 Black Lake Blvd SW	Olympia	WA	98502-5723	360.357.5590	cyndi@ecsonline.cc	www.ecsonline.cc	P-8	NP	NWAC
King	Federal Way	Evergreen Lutheran High School	8456	Nathan Seltz	2021 S 260th St	Des Moines	WA	98198-9025	253.946.4488	nseiltz@elhs.org	www.elhs.org	9-12	NP	
King	Shoreline	Evergreen School	8034	Margaret Wagner	15201 Meridian Ave N	Shoreline	WA	98133-6331	206.957.1525	mwagner@evergreenschool.org	www.evergreenschool.org	P-8	NP	PNAIS
Whatcom	Bellingham	Explorations Academy/Global Community Institute	8074	Daniel Kirkpatrick	"1701 Ellis Street  Suite 215                          
(Mail: PO Box 3014           
Bellingham 98227-3014)"	Bellingham	WA	98225-4617	360.671.8085	daniel@ExplorationsAcademy.org	www.ExplorationsAcademy.org	8-12	NP	NWAC
King	Highline	Explorer West Middle School	8189	Evan Hundley	10015 28th Ave SW	Seattle	WA	98146-3708	206.935.0495	debbie@explorerwest.org	www.explorerwest.org	6-8	NP	PNAIS
King	Seattle	Fairview Christian School                                                     (Part of North Sound Christian Schools)	8859	Sharilee West	844 NE 78th St	Seattle	WA	98115-4202	206.526.0762	sharileew@fcsseattle.org	www.fcsseattle.org	P-8	NP	
Pierce	Tacoma	Faith Lutheran School	8135	Philip Adickes	113 S 96th St	Tacoma	WA	98444-6502	253.537.2696	office@faith-wels.org	www.faith-wels.org	P-8	NP	
Thurston	North Thurston	Faith Lutheran School	8482	Laura White	7075 Pacific Ave SE	Lacey	WA	98503-1473	360.491.1733	faithprincipal@comcast.net	www.faithlutheranlacey.org	P-6	NP	
King	Lake Washington	Faith Lutheran School of Redmond	8713	Barbara P. Deming	9041 166th Ave NE	Redmond	WA	98052-3709	425.885.1810	principal@faithluth.org	www.faithredmond.org	P-4	NP	NLSA
King	Highline	Family Academy/Academy NW	8820	Candice Childs	"14629 20th Ave SW                                
(Mail: PO Box 66839                      
Seattle 98166-0839)"	Seattle	WA	98166-3709	206.246.9227	candicec@familyacademy.org	www.familyacademy.org	K-12	NP	NWAC
Cowlitz	Kelso	Family House Academy	8347	Lisa L. Mustion	"1220 Carroll Rd
(Mail: PO Box 511
Kelso WA 98626-0511)"	Kelso	WA	98626-9467	360.425.7481	wisha@comcast.net	familyhouseacademy.com	K-8	NP	
Clark	Battle Ground	Firm Foundation Christian School	8480	Scott Grove	1919 SW 25th Ave	Battle Ground	WA	98604-3137	360.687.8382	sgrove@ffcs.org	www.ffcs.org	P-12	NP	NWAC
King	Seattle	First Place	8597	Robyn Govan	172 20th Avenue                                    (Mail: PO Box 22536                  Seattle 98122-0536)	Seattle	WA	98122-5862	206.323.6715	rgovan@firstplaceschool.org	www.firstplaceschool.org	K-5	NP	
Spokane	Spokane	First Presbyterian Christian School	800B	Tracy Blue	318 S Cedar	Spokane	WA	99201-7030	509.747.9192	tracyb@spokanefpc.org	www.spokanefpc.org	P-4	NP	
Clallam	Sequim	Five Acre School	8197	William Jevne	515 Lotzgesell Rd	Sequim	WA	98382-8072	360.681.7255	fiveacreschool@me.com	fiveacreschool.org	P-6	P	
Skagit	Mt Vernon	Foothills Christian School 	8330	Mark T. Collins	"2710 E Fir St.                       
(Mail: PO Box 2537                  
Mt Vernon 98273-2537)"	Mt Vernon	WA	98273-2712	360.420.9749	coho.collins@gmail.com	www.foothillschristian.com	P-8	NP	
Snohomish	Everett	Forest Park Adventist School	8793	Shannon Whidden	4120 Federal Ave	Everett	WA	98203-2117	425.258.6911	swhiddenfpacs@yahoo.com	www.forest24.adventistschoolconnect.org	K-8	NP	SDA
King	Bellevue	Forest Ridge School of Sacred Heart	8035	Mark Pierotti	4800 139th Ave SE	Bellevue	WA	98006-3015	425.641.0700	markpi@forestridge.org	www.forestridge.org	5-12	NP	PNAIS
Pierce	Puyallup	Freedom Academy	1485	Leonard Edlund	12527 200th St E                        (Mail: 18710 Meridian E #115               Puyallup 98375)	Graham	WA	98338	253.365.3397	leonard_edlund@yahoo.com		K-12	P	
King	Bellevue	French Immersion School of WA	8408	Veronica Dessaud	4211 W Lake Sammamish Pkwy SE	Bellevue	WA	98008-5936	425.653.3970	vdussud@fisw.org	www.fisw.org	P-5	NP	
King	Mercer Island	French-Am School of Puget Sound	8279	Eric Thuau	3795 E Mercer Way	Mercer Island	WA	98040-3849	206.275.3533	erict@fasps.org	www.fasps.org	P-8	NP	PNAIS
Whatcom	Bellingham	Gardenview Montessori	1424	Kelda Adair	3242 Firwood Ave	Bellingham	WA	98225-1424	360.527.9638	gardenviewmontessori@comcast.net	www.gardenviewmontessori.org	P-1	NP	
Clark	Battle Ground	Gardner School	8071	Mark McGough	16413 NE 50th Ave	Vancouver	WA	98686-1843	360.574.5752	mmcgough@gardnerschool.org	www.gardnerschool.org	P-8	NP	
Kitsap	North Kitsap	Gateway Christian Schools (formerly Christ the King Academy--2011)	8341	Nick Sweeney/Judy Green	705 NE Lincoln Rd                                         (Mail: PO Box 2460                 Poulsbo 98370-0921)	Poulsbo	WA	98370-7512	360.779.9189	judy.green@gatewaychristianschools.org	www.ckaeagles.com	P-6	NP	
King	Seattle	Genius Academy	802E	Dr. Jewel Holloway	"6718 MLK Jr Way S
(Mail: 3703 S Edmund St  #6
Seattle WA 98118)"	Seattle	WA	98118	206.276.8136	GeniusAcademySeattle@yahoo.com		P-12	NP	
King	Seattle	Giddens School	8978	Robert Kogane	620 20th Ave S	Seattle	WA	98144-2209	206.324.4847	rkogane@giddensschool.org	www.giddensschool.org	P-5	NP	PNAIS
Pierce	Peninsula	Gig Harbor Academy	8389	Darcie Bigelow	6820 32nd St NW	Gig Harbor	WA	98335-6417	253.265.2150	bigelow@gigharboracademy.org	www.gigharboracademy.org	P-5	NP	
King	Highline	Glendale Lutheran School	8396	Lisa Monto	13455 2nd Ave SW	Burien	WA	98146-3320	206.244.6085	montol@glendalelutheranschool.org	glendalelutheranschool.org	P-8	NP	
Klickitat	Goldendale	Goldendale Christian School	1425	Bob Kindler	1180 S Roosevelt                                         (Mail: PO Box 603                      Goldendale  98620-0603) 	Goldendale	WA	98620	509.773.0232               (808-728-8557)	gcsprincipal@centurylink.net		P-12	NP	
Spokane	Spokane	Gonzaga Preparatory School	8176	Cindy Reopelle	1224 E Euclid Ave	Spokane	WA	99207-2899	509.483.8511	creopelle@gprep.com	www.gprep.com	9-12	NP	NWAC
Thurston	Olympia	Gospel Outreach	1400	David Hill	1925 South Bay Rd	Olympia	WA	98506	360.786.0070	golouise@comcast.net	www.gospeloutreach.org	2-12	NP	
Snohomish	Marysville	Grace Academy	8429	Timothy J. Lugg	8521 67th Ave NE	Marysville	WA	98270-7855	360.659.8517	tlugg@graceacademy.net	www.graceacademy.net	P-12	NP	ACSI
Ferry	Republic	Grace Christian Academy	801Z	Sarah Van Slyke	"35 N Clark Ave
(Mail: PO Box 88  Republic 99166-0088)"	Republic	WA	99166	509.994.1458	administrator@fc-gca.us	fc-gca.us	K-8	NP	
Yakima	Yakima	Grace Lutheran School	8228	Chris Becker	1207 S 7th Ave	Yakima	WA	98902-5567	509.457.6611	cbecker@gracelutheranyakima.org	www.gracelutheranyakima.org	P-8	NP	
Yakima	Grandview	Grandview Adventist Junior Academy	8233	June Graham	106 N Elm St	Grandview	WA	98930-1009	509.882.3817	gaja@embarqmail.com		P-8	NP	SDA
Grays Harbor	Montesano	Grays Harbor Adventist Christian School	8648	Adria Hay	1216 State Route 12	Montesano	WA	98563	360.249.1115	adriahay@gmail.com	http://www.ghacschool.org	K-8	NP	SDA
Snohomish	Mukilteo	Greater Trinity Christian Learning Academy	8409	"Paul A. Stoot, Sr."	11229 4th Ave W	Everett	WA	98204-4928	425.267.9689	gtmbcpas@frontier.com 	www.gtclaschool.org	P-1	NP	
Yakima	Naches Valley	Green Pastures Learning Center	8866	Bruce Whitmore	71 Green Meadows Dr	Yakima	WA	98908-9602	509.966.1234	whitmore@cabinriver.com		K-12	P	
King	Auburn	Green River Montessori School	8756	Diana Holz	922 12th St NE	Auburn	WA	98002-4246	253.833.7010	grms@comcast.net	www.GRMontessori.com	P-12	P	
Whitman	Colton	Guardian Angel St. Boniface School	8226	Lori Becker	"306 Steptoe St                                  
(Mail: PO Box 48                    
Colton  99113-0048)"	Colton	WA	99113	509.229.3579	lbecker@dioceseofspokane.org	www.gasbschool.org	K-8	NP	WCEA
King	Seattle	Hamlin Robinson School	8743	Joan Beauregard	1700 E Union St.	Seattle	WA	98122-4140	206.763.1167	jbeauregard@hamlinrobinson.org	www.hamlinrobinson.org	1-8	NP	
Pierce	Peninsula	Harbor Christian Schools	1423	Bonnie Mudge	"6509 38th Ave NW                       
(Mail:  PO Box 2135                    
Gig Harbor 98335-4135)"	Gig Harbor	WA	98335-8301	253.857.6242	harborchs@gmail.com	www.harborchristianschools.org	P-12	NP	
Pierce	Peninsula	Harbor Montessori School	8667	Sonya Cary	5414 Comte Dr	Gig Harbor	WA	98335-7424	253.851.5722	sonya@harbormontessori.org	harbormontessori.org	P-12	NP	AMS
King	Vashon Island	Harbor School	8256	James Cardo	15920 Vashon Hwy SW                  (Mail: PO Box 1912                 Vashon 98070-1912)	Vashon	WA	98070	206.567.5955	james@harborschool.org	www.harborschool.org	4-8	NP	
Yakima	Mount Adams	Harrah Community Christian School	8694	Marie Wegmuller	"50 Dane Ave                          
(Mail: PO Box 100                
Harrah  98933-0068)"	Harrah	WA	98933	509.848.2418	mwegmuller@aol.com	www.hccschool.org	P-8	NP	
King	Northshore	Heritage Christian Academy	8561	Carol Taylor	19527 104th Ave NE	Bothell	WA	98011-2401	425.485.2585	carolt@hcabothell.org	www.hcabothell.org	P-9	NP	ACSI
Pierce	University Place	Heritage Christian School	8296	Tung Le	5412 67th Ave W	University Place	WA	98467-2246	253.564.6276	principal@heritagecs.net	www.heritagecs.net	K-8	NP	
Snohomish	Arlington	Highland Christian Schools  (formerly Highlands Christian School)	8931	Tana Litwin	135 S French	Arlington	WA	98223-1698	360.403.8351	Tlitwin@hcswa.org	www.hcswa.org	K-12	NP	
Snohomish	Lake Stevens	Hillcrest Academy	8961	Martha Smith	9306 8th St SE	Lake Stevens	WA	98258-6631	425.334.9686	luvtoteach53@comcast.net		1-12	P	
King	Riverview	Hillside Academy (formerly Red Barn Learning Center--2011)	801G	Kimberly Gilreath	15520 Main St NE                      (Mail: PO Box 1344                        Duvall WA 98019-1344)	Duvall	WA	98019	425.844.8608	kim@hillsideacademyduvall.com	hillsideacademyduvall.com	P-6	NP	
King	Bellevue	Hillside Student Community School	8241	Kael Sherrard	5027 159th Pl SE	Bellevue	WA	98006-3636	425.747.6448	Kael@hillsidesc.org	www.hilsidesc.org	5-12	NP	
King	Lake Washington	Holy Family Parish School	8106	Jackie Degel	7300 - 120th Ave NE	Kirkland	WA	98033	425.827.0444	jdegel@hfkschool.org	www.hfkschool.org	P-8	NP	NWAC
Asotin	Clarkston	Holy Family School	8000	Mary E. Richardson	1002 Chestnut St	Clarkston	WA	99403-2595	509.758.6621	hfschool@cableone.net	www.hfsclarkston.com	P-6	NP	NWAC
King	Auburn	Holy Family School	8098	Dr. Bertha Ciaramello	505 17th St SE	Auburn	WA	98002-6895	253.833.8688	bciaramello@hfsauburn.com	www.hfsauburn.com	P-8	NP	NWAC
King	Seattle	Holy Family School	8041	Frank Cantwell	9615 20th Ave SW	Seattle	WA	98106-2786	206.767.6640	principal@hfseattle.org	www.hfseattle.org/school	P-8	NP	NWAC
Thurston	North Thurston	Holy Family School	8340	David Stone	2606 Carpenter Rd SE                             (Mail: PO Box 3700                              Lacey  98509-3700)	Lacey	WA	98503-3999	360.491.7060	principal@holyfamilylacey.com	www.holyfamilylacey.org	P-8	NP	WCEA
King	Federal Way	Holy Innocents School of NW	8295	Dennis M.Cantwell	2530 S 298th St	Federal Way	WA	98003-4219	253.839.0788	contact@holyinnocentsnw.net		K-12	NP	
King	Seattle	Holy Names Academy	8042	Elizabeth Swift	728 21st Ave E	Seattle	WA	98112-4058	206.323.4272	eswift@holynames-sea.org	www.holynames-sea.org	9-12	NP	NWAC
King	Seattle	Holy Rosary Elementary	8043	Michael Cantu	4142 42nd Ave SW	Seattle	WA	98116-4202	206.937.7255	mcantu@holyrosaryws.org	www.holyrosaryws.org	K-8	NP	WCEA
Pierce	Tacoma	Holy Rosary School	8137	Timothy Uhl	504 S 30th St	Tacoma	WA	98402-1104	253.272.7012	timothyuhl@holyrosarytacoma.org	www.holyrosarytacoma.org	P-12	NP	NWAC
Snohomish	Edmonds	"Holy Rosary, Edmonds"	8162	Sue Venable	"770 Aloha St                          
(Mail: PO Box 206                      
Edmonds 98020-0206)"	Edmonds	WA	98020-3019	425.778.3197	susanv@holyrosaryedmonds.org	www.holyrosaryschooledmonds.org	P-8	NP	NWAC
King	Federal Way	Holy Trinity Lutheran School	8535	Stephan Rodmyre	2021 S 260th St	Des Moines	WA	98198-9025	253.839.6516	principal@htls-wa.org	www.holytrinitylutheranchurch.org	P-8	NP	
Whatcom	Bellingham	Home Port Learning Center	8088	Ralph Smallwood	707 Astor St	Bellingham	WA	98225-4048	360.715.8860	homeportlc@gmail.com	www.homeportlc.com	7-12	NP	NWAC
King	Seattle	Hope Lutheran School	8045	Kristen Okabayashi	4456 42nd Ave SW	Seattle	WA	98116-4223	206.935.8500	kokabayashi@hopeseattle.org	www.hopeseattle.org	P-8	NP	NLSA
King	Shoreline	Horizon School	8865	Thais Miller	1512 NW 195th St	Shoreline	WA	98177-2820	206.546.0133	tmiller@thehorizonschool.org	thehorizonschool.com	P-1	NP	
Clark	Vancouver	Hosanna Christian School	8449	Sue Bishoprick	4120 NE St Johns Rd	Vancouver	WA	98661-3226	360.906.0941	s.bishoprick@firste.org		P-8	NP	
Kitsap	Bainbridge Island	Hyla Middle School	8968	Vicki Jenkins	7861 Bucklin Hill Rd NE	Bainbridge Island	WA	98110-2603	206.842.5988	vickij@hylamiddleschool.org	www.hylamiddleschool.org	6-8	NP	PNAIS
Pierce	Bethel	Imagination School of Education	8258	Fralisa M. McFall	"14917 9th Ave Ct E
(Mail: 14715 Pacific Ave S
Tacoma WA 98444-4652)"	Tacoma	WA	98445-2586	253.535.2522	imagination@frugal.com	www.ImaginationSchoolofEDU.com	P-10	P	
Skagit	Mount Vernon	Immaculate Conception Regional School	8153	Ann Leichleiter	1321 E Division St	Mount Vernon	WA	98274-4132	360.428.3912	leichleiter@icrsweb.org	www.icrsweb.org	P-8	NP	WCEA
Snohomish	Everett	Immaculate Conception/Our Lady of Perpetual Help	8157	Mrs. Donna Ramos	2508 Hoyt Ave	Everett	WA	98201-2906	425.349.7777	pat@ic-olph.org	www.ic-olph.org	P-8	NP	WCEA
Island	South Whidbey	Island Christian Academy	8928	Karen Norton	5373 S Maxwelton Rd                (Mail: PO Box 1048               Langley 98260)	Langley	WA	98260-9521	360.221.0919	karennorton@whidbey.com	www.islandchristianacademy.com	P-12	NP	
Jefferson	Port Townsend	Jefferson Community School	1427	Lisa Iverson	280 Quincy St  	Port Townsend	WA	98368-5782	360.385.0622	headofschooljcs@gmail.com	www.jeffersoncommunityschool.com	7-12	NP	NWAC
King	Bellevue	Jewish Day School	8563	Maria Erlitz	15749 NE 4th St	Bellevue	WA	98008-4317	425.460.0200	merlitz@jds.org	www.jds.org	P-8	NP	PNAIS
King	Highline	JF Kennedy Catholic High School (formerly JF Kennedy Memorial High School)	8082	Michael Prato	140 S 140th St	Burien	WA	98168	206.246.0500	pratom@kennedyhs.org	www.kennedyhs.org	9-12	NP	NWAC
Stevens	Colville	Johnson Christian School	8656	Roxana Wood	"760 E Columbia                     
(Mail: PO Box 583            
Colville 99114-0583)"	Colville	WA	99114-9766	509.684.8631	jchristian@ultraplix.com		P-12	NP	
King	Seattle	Kapka Cooperative School (formerly Kapka Cooperative Primary School 2011)	1481	Marcia Balkin	510 N 49th St	Seattle	WA	98103-6420	206.522.0350	kapka@kapkaschool.org	www.kapkaschool.org	K-3	NP	
Cowlitz	Kelso	Kelso Longview Adventist School	8090	Joel Bennett	96 Garden St	Kelso	WA	98626-1969	360.423.9250	mrjoelbennett@gmail.com	www.klaschool.org	K-8	NP	SDA
King	Shoreline	Kings Schools	8102	Eric Rasmussen	19303 Fremont Ave N                      	Seattle	WA	98133-3800	206.546.7211	erasmussen@crista.net	www.kingsschools.org	P-12	NP	NWAC
Clark	Vancouver	King's Way Christian School	8483	Jeff Waldbauer	3300 NE 78 St	Vancouver	WA	98665-0656	360.574.1613 ext. 2	Jeff Waldbauer@kwcs.org	www.kwcs.org	K-12	NP	NWAC
Franklin	Pasco	Kingspoint Christian School	8437	Georgia Perkins	7900 W Court St	Pasco	WA	99301-1771	509.547.6498	kingspointchristian@kingspoint.org	www.kingspointcs.org	K-12	NP	
King	Lake Washington	Kirkland SDA School	8107	Linda Taber	5320 108th Ave NE	Kirkland	WA	98033-7517	425.822.7554	ltaber@psaa.org	www.psaa.org	K-8	NP	
Kitsap	Central Kitsap	Kitsap Adventist Christian School	8114	Becky Rae	5088 NW Taylor Rd	Bremerton	WA	98312-8803	360.377.4542	sunnybrook76@hotmail.com	http://kacschool.org	P-8	NP	SDA
King	Seattle	Koinonia Learning Academy (formerly Koinonia-Maxine Mimms Private Academy and Maxine Mimms High School) (2011 and 2009)	8326	Dr. Emma Jones	3019 S Angeline St                                  (Mail: PO Box 28964             Seattle 98118-8964)	Seattle	WA	98118	206.721.2446	emma.jones@comcast.net	www.Koinonia.edu	P-12	NP	
Yakima	Yakima	La Salle High School	8310	Ted Kanelopoulos	3000 Lightning Way	Union Gap	WA	98903-2213	509.225.2900	tedk@lasalleyakima.org	www.lasalleyakima.com	9-12	NP	NWAC
King	Shoreline	Lake Forest Park Montessori	8672	Eve Buckle	19935 19th Ave NE	Seattle	WA	98155-1243	206.367.4404	eve.buckle@nlcinc.com	www.lfpm.com	P-12	P	
King	Seattle	Lake WA Girls Middle School	8299	Patricia Hearn	810 18th Ave	Seattle	WA	98122-4747	206.709.3800	hearn@lwgms.org	www.lwgms.org	6-8	NP	
King	Seattle	Lakeside School	8048	Bernie Noe	14050 1st Ave NE	Seattle	WA	98125-3099	206.368.3600	bernie.noe@lakesideschool.org	www.lakesideschool.org	5-12	NP	PNAIS
Snohomish	Snohomish	Lakeview Academy	8852	Barry Rodland	512 Ave H	Snohomish	WA	98290-2315	360.568.1604	bbrodland@msn.com		5-9	P	
Pierce	Clover Park	Lakewood Lutheran School	8149	Christina Murray	10202 112th St SW	Lakewood	WA	98498-1699	253.584.6024	lakewoodlutheran@gmail.com	www.lakewoodlutheran.net	P-5	NP	
Lewis	Chehalis	Lewis County Adventist School	8119	Karen Carlton	2104 Scheuber Rd S                           (Mail: PO Box 1203                     Chehalis 98532-1203)	Chehalis	WA	98532-9635	360.748.3213	office@lcas.org	www.lcas.org	P-10	NP	SDA
Benton	Richland	Liberty Christian School	8564	Karen Bjur/Joe Morgan	2200 Williams Blvd	Richland	WA	99352-3077	509.946.0602	kbjur@libertychristian.net	www.libertychristian.net	P-12	NP	ACSI
Walla Walla	College Place	Liberty Christian School	8418	Robin Keala Hoe	3172 Peppers Bridge Rd	Walla Walla	WA	99362-7005	509.525.5082	kealaro@gmail.com	www.libertychristianww.org	P-8	NP	
Pierce	Tacoma	Life Christian School	8353	Ross Hjelseth	1717 S Union Ave	Tacoma	WA	98405-1997	253.756.2462	ross_hjelseth@life-christian.org	life-christian.org	P-12	NP	ACSI
Snohomish	Everett	Light of Faith Christian Academy	800X	Claudia Zimmerer	18008 Bothell-Everett Hwy #H	Bothell	WA	98012-6842	425.412.4192	pastorclaudia@lightoffaith.org	www.LightofFaith.org	P-12	NP	
Pierce	Peninsula	Lighthouse Christian School	8998	Stephen Roddy	3008 36th St NW	Gig Harbor	WA	98335-8256	253.858.5962	sroddy@lcschool.org	www.lcschool.org	K-8	NP	ACSI
Kittitas	White Salmon Val	Little Oak Montessori School (formerly Little Oak Children's House) (2009)	8342	Betsy Perrigue	1054 SE Oak St                                      (Mail: PO Box 530                White Salmon 98672-0530)	White Salmon	WA	98672	509.281.1721	admin@littleoakmontessori.com	www.littleoakmontessori.com	P-3	NP	
King	Bellevue	Living Montessori Academy  (formerly Planet Kids Bellevue) (2010)	1469	Afrose Amlani	2445 140th Ave NE	Bellevue	WA	98005-1879	425.373.5437	afrose@livingmontessori.com	www.livingmontessori.com	P-3	P	
King	Shoreline	Living Wisdom School of Seattle	1444	Nivritti Cathy Steenstra	"2800 NE 200th St                
(Mail: 20715 Larch Way  #2   
Lynnwood 98036-6854)"	Bellevue	WA	98155-1418	425.772.9862	nivritti@anandaseattle.org	www.livingwisdomschoolseattle.org	P-6	NP	
Whatcom	Lynden	Lynden Christian Schools	8222	Henry D. Kok	417 Lyncs Dr	Lynden	WA	98264-1649	360.318.9525	donkok@lyncs.org	www.lyncs.org	P-12	NP	CSI
Whatcom	Bellingham	Lynden Christian Schools--Evergreen Campus (2009)	8936	Mary Enfield	567 E Kellogg Rd	Lynden	WA	98226-8181	360.738.8248	menfield@lyncs.org	www.lyncs.org	P-8	NP	CSI
Kitsap	Bainbridge Island	Madrona School	800P	Marguerite Goss	219 Madison Ave N                    (Mail: PO Box 11371                  Bainbridge 98110)	Bainbridge Island	WA	98110-2503	206.855.8041	mgoss@madronaschool.org	wwwmadronaschool.org	P-8	NP	AWCNA
King	Seattle	Makkah Islamic School	802F	Shareef Abduhr-Rahmaan	3613 S Juneau St	Seattle	WA	98118-2600 	206.402.3964	rahmah114@gmail.com		P-8	NP	
Grant	Wilson Creek	Marlin Hutterite School	8494	Peter Gross/Jill Hotchkiss	21344 Rd 18 NE	Warden	WA	98832	509.345.2390 x 233	jdlm60@hotmail.com		P-12	NP	
Kitsap	North Kitsap	Martha &  Mary Children's Learning Center	801J	Joanna Carlson	19282 Front St NE                                (Mail: PO Box 127                        Poulsbo 98370-0127)	Poulsbo	WA	98370	360.394.4058	JCarlson@MMHC.org	www.marthaandmary.org	P-1	NP	
Mason	Shelton	Mason County Christian School	8937	Dan Taverne	470 E Eagle Ridge Dr	Shelton	WA	98584-7897	360.426.7616	dantaverne@gmail.com	masoncountychristianschool.org	P-8	NP	
King	Seattle	Matheia School	8165	Allison Soules	2205 NW 67th St	Seattle	WA	98117-5737	206.283.1828	allison@matheia.org	www.matheia.org	P-5	NP	
Clark	Battle Ground	Meadowglade SDA School	8013	Brian Allison	18717 NE 109th Ave	Battle Ground	WA	98604-6115	360.687.5121	ballison@mgaes.org	www.mgaes.org	K-8	NP	SDA
King	Lake Washington	Medina Academy	8612	Robert Mond	"16242 NE 80th St                         (Mail: PO Box 2682, Redmond 98073-2682)"	Redmond	WA	98052-3977	425.497.8848	principal@medinaacademy.org	www.medinaacademy.org	P-7	NP	
King	Seattle	Meridian School	8404	Ron Waldman	4629 Sunnyside Ave N  Suite 242	Seattle	WA	98103-6955	206.632.7154	rwaldman@meridianschool.edu	www.meridianschool.edu	K-5	NP	PNAIS
Okanogan	Methow Valley	Methow Valley Community School  	8362	Deb Jones Schuler	31 Wes Chewuch Road                           (Mail: PO Box 3013               Winthrop 98862-3002)	Winthrop	WA	98862	509.996.4447	methowvalleycommunityschool@gmail.com	www.mvcommunityschool.org	1-8	NP	
Adams	Othello	Mid Columbia Christian School	8994	Dave Anderson	"1212 Pine St                                      (Mail: PO Box 713           
Othello 99344-0713)"	Othello	WA	99344	509.488.2554	mccs@nctv.com		P-4	NP	
King	Seattle	MMSC Day School	800S	Rabbi Yosef Charytan	8511 15th Avenue NE	Seattle	WA	98115	206.523.9766	ycharytan@mmscdayschool.org	www.mmscdayschool.org	P-12	NP	
Snohomish	Monroe	Monroe Christian School	8171	Elaine Obbink	1009 W Main St	Monroe	WA	98272-2017	360.794.8200	elaine.obbink@monroechristian.org	www.monroechristian.org	P-8	NP	CSI
Snohomish	Monroe	Monroe Montessori School	8995	Allan Washburn	"733 Village Way                   
 (Mail: 18425 N High Rock Rd   
Monroe 98272-9198)"	Monroe	WA	98272-2171	360.794.4622	office@monroemontessori.com	www.monroemontessori.com	P-6	P	
Whatcom	Bellingham	Montessori at Samish Woods (formerly Samish Montessori School)	800T	Jessica Tupper	1027 Samish Way	Bellingham	WA	98229-3103	360.650.9465	tupperjess@yahoo.com	samishwoods.org	P-6	NP	
King	Lake Washington	Montessori Children's House	1432	Jennifer Wheelhouse	5003 218th Ave NE	Redmond	WA	98053-2429	425.868.7805	director@mchkids.com	www.mchkids.com	P-6	P	AMS
Kitsap	Bainbridge Island	Montessori Country School	801K	Patricia Christensen	10994 Arrow Point Dr	Bainbridge Island	WA	98110-1410	206.842.4966	countryschool@hotmail.com	www.montessoricountryschool.org	P-1	NP	
Yakima	Yakima	Montessori School of Yakima	1468	Antoinette Stroscher	511 N 44th Ave	Yakima	WA	98908-2608	509.966.0680	montessoriyakima@gmail.com	msofy.org	P-5	NP	
Snohomish	Everett	Montessori Schools of Snohomish Co.	8892	Kathleen Gunnell	1804 Puget Dr	Everett	WA	98203-6600	425.355.1311	mymssc@aol.com	www.mymssc.com	P-12	NP	
King	Seattle	Morningside Academy	8674	Kent Johnson	201 Westlake Ave N	Seattle	WA	98109-5217	206.709.9500	kent@morningsideacademy.org	www.morningsideacademy.org	1-10	NP	
Grant	Moses Lake	Moses Lake Christian Academy	8356	Bill Breakey	1475 Nelson Road NE	Moses Lake	WA	98837-1400	509.765.9704	bbreakey@mlca.us	www.MLCA.us	P-12	NP	
